ABBREVIATION	COUNT_NOT_MISSING	PERCENTAGE_NOT_MISSING	COUNT_MISSING	PERCENTAGE_MISSING	COUNT_TOTAL
pad	1551	0.0002%	248	0.00003%	1799
-mycohe	222	0.0000%	248	0.00003%	470
bor-it-abm	109	0.0000%	248	0.00003%	357
s-pölyryh	1289	0.0002%	247	0.00003%	1536
s-schimab	599	0.0001%	247	0.00003%	846
pt-kt/v	5766	0.0007%	246	0.00003%	6012
s-stpn33f	349	0.0000%	246	0.00003%	595
s-heliaba	133	0.0000%	245	0.00003%	378
u-hg	1432	0.0002%	244	0.00003%	1676
du-aldos	3278	0.0004%	242	0.00003%	3520
s-hibab	153	0.0000%	242	0.00003%	395
us-bil	113	0.0000%	242	0.00003%	355
b-bas%	64882	0.0084%	240	0.00003%	65122
fp-insu	6214	0.0008%	240	0.00003%	6454
ly-cd4-8-	553	0.0001%	240	0.00003%	793
s-stpn15b	357	0.0000%	240	0.00003%	597
s-trvirie	322	0.0000%	240	0.00003%	562
s-negadab	110	0.0000%	240	0.00003%	350
cu-aika(s)	3184	0.0004%	239	0.00003%	3423
fs-gastr	3072	0.0004%	238	0.00003%	3310
pt-sik	649	0.0001%	238	0.00003%	887
u-co	1595	0.0002%	236	0.00003%	1831
s-rubeabg	1171	0.0002%	236	0.00003%	1407
s-leptabg	128	0.0000%	236	0.00003%	364
fp-reninm	8525	0.0011%	235	0.00003%	8760
1.savuk	785	0.0001%	235	0.00003%	1020
baso**	128	0.0000%	235	0.00003%	363
nst*	124	0.0000%	235	0.00003%	359
s-cdt%	17508	0.0023%	234	0.00003%	17742
s-ld	41095	0.0053%	232	0.00003%	41327
s-tputree	627	0.0001%	231	0.00003%	858
hoigluk	413	0.0001%	231	0.00003%	644
p-glu/2h	17146	0.0022%	230	0.00003%	17376
-pes.jäl	6644	0.0009%	230	0.00003%	6874
inr-vt	737	0.0001%	230	0.00003%	967
f-antitry	1807	0.0002%	229	0.00003%	2036
s-infbabg	1200	0.0002%	229	0.00003%	1429
l-ba	319	0.0000%	229	0.00003%	548
-etohgc	174	0.0000%	229	0.00003%	403
p-lh/fsh	1580	0.0002%	228	0.00003%	1808
s-golim	2009	0.0003%	227	0.00003%	2236
b-lcd34	1715	0.0002%	227	0.00003%	1942
p-ige	14562	0.0019%	225	0.00003%	14787
s-karni	1477	0.0002%	225	0.00003%	1702
s-tif1g-o	397	0.0001%	225	0.00003%	622
s-mi-2b-o	397	0.0001%	225	0.00003%	622
s-sae1-o	397	0.0001%	225	0.00003%	622
s-mda5-o	397	0.0001%	225	0.00003%	622
s-mi-2a-o	397	0.0001%	225	0.00003%	622
s-nxp2-o	397	0.0001%	225	0.00003%	622
s-kerulo	11406	0.0015%	224	0.00003%	11630
u-iglck	151	0.0000%	224	0.00003%	375
p-fxiii	5289	0.0007%	223	0.00003%	5512
s-stpn17f	374	0.0000%	223	0.00003%	597
s-fenytv	1564	0.0002%	222	0.00003%	1786
-liik.pr	19948	0.0026%	221	0.00003%	20169
s-appelse	457	0.0001%	221	0.00003%	678
du-sitraat	1551	0.0002%	220	0.00003%	1771
s-porkkae	416	0.0001%	220	0.00003%	636
s-gpene	157	0.0000%	220	0.00003%	377
fs-insu	2385	0.0003%	219	0.00003%	2604
s-htlvjt	171	0.0000%	219	0.00003%	390
ab-o2sat	318285	0.0411%	215	0.00003%	318500
b-cd	656	0.0001%	213	0.00003%	869
b-col/adp	343	0.0000%	213	0.00003%	556
b-vakuly	1494	0.0002%	212	0.00003%	1706
pf-sameus	1431	0.0002%	212	0.00003%	1643
-hcvnhty	274	0.0000%	212	0.00003%	486
as-neut	995	0.0001%	211	0.00003%	1206
s-mansike	540	0.0001%	211	0.00003%	751
pd-mononuk	292	0.0000%	211	0.00003%	503
s-ige2pöl	6553	0.0008%	210	0.00003%	6763
s-aldos-p	2671	0.0003%	210	0.00003%	2881
testo/shbg	1853	0.0002%	209	0.00003%	2062
p-pctpika	1166	0.0002%	209	0.00003%	1375
s-filaab	206	0.0000%	209	0.00003%	415
bor-it-abg	148	0.0000%	209	0.00003%	357
fp-lipaas	4568	0.0006%	208	0.00003%	4776
s-stpn11a	389	0.0001%	208	0.00003%	597
pt-kons-1	142	0.0000%	208	0.00003%	350
inr-pika	21223	0.0027%	207	0.00003%	21430
s-home1er	245	0.0000%	207	0.00003%	452
s-tria14e	493	0.0001%	206	0.00003%	699
s-stpn10a	391	0.0001%	206	0.00003%	597
fs-lipo(a)	1011	0.0001%	205	0.00003%	1216
c-reaktiivinenproteiini,pika	402	0.0001%	205	0.00003%	607
s-perunae	364	0.0000%	205	0.00003%	569
cb-shco3	65309	0.0084%	204	0.00003%	65513
s-cic	2238	0.0003%	204	0.00003%	2442
s-rmald3e	840	0.0001%	204	0.00003%	1044
bm-mrdpfc	169	0.0000%	204	0.00003%	373
u-iglcl	156	0.0000%	204	0.00003%	360
b-hba/b-d	121	0.0000%	204	0.00003%	325
l-blast	25253	0.0033%	202	0.00003%	25455
fp-tffesat	9872	0.0013%	202	0.00003%	10074
mono**	165	0.0000%	201	0.00003%	366
u-mn	126	0.0000%	201	0.00003%	327
e-fragm	3667	0.0005%	199	0.00003%	3866
askivuosia	1905	0.0002%	199	0.00003%	2104
as-eos	720	0.0001%	199	0.00003%	919
vt-hbsab	365	0.0000%	199	0.00003%	564
s-pajue	228	0.0000%	199	0.00003%	427
p-inrhoi	1433	0.0002%	198	0.00003%	1631
pd-prot	1093	0.0001%	198	0.00003%	1291
c-reaktiivinenproteiini,vieritutkimus	501	0.0001%	198	0.00003%	699
s-rgadc1e	978	0.0001%	197	0.00003%	1175
b-brovmut	449	0.0001%	197	0.00003%	646
b-panel-l	142	0.0000%	197	0.00003%	339
s-evirnho	117	0.0000%	197	0.00003%	314
s-ch100l	5114	0.0007%	196	0.00003%	5310
di-prot	1500	0.0002%	196	0.00003%	1696
-fidd-vt	819	0.0001%	196	0.00003%	1015
pt-fev1	215	0.0000%	196	0.00003%	411
p-cl-vt	198	0.0000%	196	0.00003%	394
s-sakspek	178	0.0000%	196	0.00003%	374
l-cd34	988	0.0001%	195	0.00003%	1183
s-cv19sab	538	0.0001%	195	0.00003%	733
s-sinsime	161	0.0000%	195	0.00003%	356
pu-baktvi2*	146	0.0000%	195	0.00003%	341
cladhee	2602	0.0003%	194	0.00003%	2796
bm-estf-vr	340	0.0000%	194	0.00003%	534
s-ruokryh	690	0.0001%	193	0.00002%	883
keliakiatutkimus,seulonta	351	0.0000%	193	0.00002%	544
u-metseu	215	0.0000%	193	0.00002%	408
u-nitr-0	14359	0.0019%	192	0.00002%	14551
-siitt.	14066	0.0018%	192	0.00002%	14258
p-bil-l	13443	0.0017%	192	0.00002%	13635
s-leptabm	170	0.0000%	192	0.00002%	362
s-borabmv	787	0.0001%	191	0.00002%	978
oma-keto	302	0.0000%	190	0.00002%	492
p-fid-hy	112	0.0000%	190	0.00002%	302
b-ristaus	4530	0.0006%	189	0.00002%	4719
pf-laktaat	2348	0.0003%	189	0.00002%	2537
s-estdio	961	0.0001%	189	0.00002%	1150
s-pistaae	745	0.0001%	189	0.00002%	934
du-5hiaa	2231	0.0003%	188	0.00002%	2419
oma-na	496	0.0001%	188	0.00002%	684
s-osacdt	14725	0.0019%	187	0.00002%	14912
papa	4534	0.0006%	187	0.00002%	4721
oma-k	493	0.0001%	187	0.00002%	680
s-borrabg*	286	0.0000%	187	0.00002%	473
s-paprike	435	0.0001%	186	0.00002%	621
2hgluk	24509	0.0032%	185	0.00002%	24694
-ph	17931	0.0023%	185	0.00002%	18116
ly-tcd4/8.	4998	0.0006%	185	0.00002%	5183
s-insu-ab	829	0.0001%	185	0.00002%	1014
s-hsvabcf	126	0.0000%	185	0.00002%	311
ua-hbo2sat	8322	0.0011%	184	0.00002%	8506
du-vm	2828	0.0004%	184	0.00002%	3012
di-leuk	2828	0.0004%	184	0.00002%	3012
ab-po2-vt	728	0.0001%	184	0.00002%	912
ua-hb	19784	0.0026%	183	0.00002%	19967
s-ige2ruo	5151	0.0007%	183	0.00002%	5334
s-thevulg	357	0.0000%	183	0.00002%	540
s-sertoab	165	0.0000%	183	0.00002%	348
ekg	7027	0.0009%	182	0.00002%	7209
audit-c	1123	0.0001%	182	0.00002%	1305
s-mypn-abg	355	0.0000%	182	0.00002%	537
s-ck-bb%	103	0.0000%	182	0.00002%	285
b-hb-vt	30205	0.0039%	181	0.00002%	30386
s-caionac	17394	0.0022%	181	0.00002%	17575
b-neutr	22073	0.0028%	180	0.00002%	22253
p-kopept	2794	0.0004%	180	0.00002%	2974
s-metad	1566	0.0002%	180	0.00002%	1746
s-afos	205526	0.0265%	179	0.00002%	205705
työkyky	2009	0.0003%	179	0.00002%	2188
s-banaane	536	0.0001%	179	0.00002%	715
s-ckmakr	100	0.0000%	179	0.00002%	279
u-tutk-1,ph	43357	0.0056%	178	0.00002%	43535
fp-trfe-sa	4984	0.0006%	178	0.00002%	5162
tnipika	267	0.0000%	178	0.00002%	445
amp.myrkky	174	0.0000%	178	0.00002%	352
li-/s-alb	3175	0.0004%	177	0.00002%	3352
cp-ohbuthy	525	0.0001%	177	0.00002%	702
p-fsl	6238	0.0008%	176	0.00002%	6414
hoiinr	3090	0.0004%	176	0.00002%	3266
u-leukosyytit	1994	0.0003%	176	0.00002%	2170
s-ovalbue	1651	0.0002%	176	0.00002%	1827
s-na	464656	0.0600%	175	0.00002%	464831
glomerulussuodosnopeus,estimoitu,ckd-epi-kaava	7767	0.0010%	175	0.00002%	7942
s-cladcle	451	0.0001%	175	0.00002%	626
tpoab	197	0.0000%	175	0.00002%	372
luov.seul.	145	0.0000%	175	0.00002%	320
s-kala2er	135	0.0000%	175	0.00002%	310
s-ckmakr%	105	0.0000%	175	0.00002%	280
l-sauva	39076	0.0050%	174	0.00002%	39250
e-fenoty	1115	0.0001%	174	0.00002%	1289
as-amyl	943	0.0001%	174	0.00002%	1117
s-stpn20	163	0.0000%	174	0.00002%	337
p-gluk-po	4917	0.0006%	173	0.00002%	5090
s-ictp	3000	0.0004%	173	0.00002%	3173
du-oksal	2346	0.0003%	173	0.00002%	2519
nlt	23183	0.0030%	172	0.00002%	23355
s-rpena1e	812	0.0001%	172	0.00002%	984
s-lysotse	139	0.0000%	172	0.00002%	311
hb-pika	10972	0.0014%	171	0.00002%	11143
keliakiatutkimus,laaja	1916	0.0002%	171	0.00002%	2087
s-bupre	620	0.0001%	171	0.00002%	791
p-fiddhoi	362	0.0000%	171	0.00002%	533
li-eryt-3	1486	0.0002%	170	0.00002%	1656
mononuk	690	0.0001%	170	0.00002%	860
p-etprom	352	0.0000%	169	0.00002%	521
u-ttca	204	0.0000%	169	0.00002%	373
s-borrab	12624	0.0016%	168	0.00002%	12792
p-tnl	4019	0.0005%	168	0.00002%	4187
p-inr-avh	2167	0.0003%	168	0.00002%	2335
p-dabi-ta	332	0.0000%	168	0.00002%	500
s-aurpulg	314	0.0000%	168	0.00002%	482
p-crpvieri	225	0.0000%	168	0.00002%	393
b-ghba1c	10271	0.0013%	167	0.00002%	10438
li-leuk-3	1491	0.0002%	167	0.00002%	1658
nlt*	199	0.0000%	167	0.00002%	366
ab-t	9260	0.0012%	166	0.00002%	9426
s-afmaksa	6928	0.0009%	166	0.00002%	7094
fp-a-vit	1613	0.0002%	166	0.00002%	1779
s-cv19aba	451	0.0001%	166	0.00002%	617
s-pähk1er	448	0.0001%	166	0.00002%	614
s-borrabm*	307	0.0000%	166	0.00002%	473
p-il2r	11738	0.0015%	165	0.00002%	11903
s-olants	10138	0.0013%	165	0.00002%	10303
kilpirauhastutkimus	1553	0.0002%	165	0.00002%	1718
pd-urea	1358	0.0002%	165	0.00002%	1523
saline	3194	0.0004%	164	0.00002%	3358
fp-renin-p	3077	0.0004%	164	0.00002%	3241
fb-nh4-ion	1443	0.0002%	164	0.00002%	1607
c-reaktiivinenproteiini(pikatesti)	406	0.0001%	164	0.00002%	570
d-hbsab	103	0.0000%	164	0.00002%	267
s-afluust	6363	0.0008%	163	0.00002%	6526
p-psa-v*	2141	0.0003%	163	0.00002%	2304
s-koopähe	1091	0.0001%	163	0.00002%	1254
pf-probnp	210	0.0000%	163	0.00002%	373
s-d-1	14994	0.0019%	162	0.00002%	15156
pf-alb	1480	0.0002%	162	0.00002%	1642
s-ca199ver	1466	0.0002%	162	0.00002%	1628
trop-t	1300	0.0002%	162	0.00002%	1462
b-bnp-v	1138	0.0001%	162	0.00002%	1300
p-tni-p	310	0.0000%	161	0.00002%	471
fb-gluk-o	183	0.0000%	161	0.00002%	344
nst	18327	0.0024%	160	0.00002%	18487
s-afmakro	6346	0.0008%	159	0.00002%	6505
s-tnf	428	0.0001%	159	0.00002%	587
p-ps-agv	14018	0.0018%	158	0.00002%	14176
pt-gfre-3	9212	0.0012%	158	0.00002%	9370
b-vasp	814	0.0001%	158	0.00002%	972
b-myelmut	306	0.0000%	158	0.00002%	464
s-dfarine	256	0.0000%	158	0.00002%	414
s-ananase	161	0.0000%	158	0.00002%	319
b-eosin	51032	0.0066%	157	0.00002%	51189
-pyör.s.	6917	0.0009%	157	0.00002%	7074
cu-vm	5014	0.0006%	157	0.00002%	5171
p-insu	1687	0.0002%	157	0.00002%	1844
tst	559	0.0001%	157	0.00002%	716
s-kiivie	532	0.0001%	157	0.00002%	689
cp-glukpot	428	0.0001%	157	0.00002%	585
s-gdomese	423	0.0001%	157	0.00002%	580
s-vzvabcf	156	0.0000%	157	0.00002%	313
s-parvigg	150	0.0000%	157	0.00002%	307
s-sumrisp	417	0.0001%	156	0.00002%	573
b-fidd-v	393	0.0001%	156	0.00002%	549
s-pr3abgk	109	0.0000%	156	0.00002%	265
u-cd	293	0.0000%	155	0.00002%	448
bu-muutsol	136	0.0000%	155	0.00002%	291
s-pitorbe	400	0.0001%	154	0.00002%	554
as-gluk	1813	0.0002%	153	0.00002%	1966
hoib-keto	163	0.0000%	153	0.00002%	316
p-bilneon	5840	0.0008%	152	0.00002%	5992
sprxkoe1	102	0.0000%	152	0.00002%	254
-tilav.	7317	0.0009%	150	0.00002%	7467
prealb	4226	0.0005%	150	0.00002%	4376
sy-gluk	480	0.0001%	150	0.00002%	630
s-testovi	260	0.0000%	150	0.00002%	410
p-prl	30398	0.0039%	149	0.00002%	30547
s-makapäe	176	0.0000%	149	0.00002%	325
u-bld-o	892	0.0001%	147	0.00002%	1039
b-sirolim	864	0.0001%	147	0.00002%	1011
li-lymf+mo	552	0.0001%	147	0.00002%	699
s-aldos-m	354	0.0000%	146	0.00002%	500
hevonee	2654	0.0003%	145	0.00002%	2799
s-igfbp3	1033	0.0001%	145	0.00002%	1178
p-tt-inrp	363	0.0000%	145	0.00002%	508
as-ly+mono	245	0.0000%	145	0.00002%	390
u-trypg2	210	0.0000%	145	0.00002%	355
s-gluk	2609	0.0003%	143	0.00002%	2752
s-hernee	673	0.0001%	143	0.00002%	816
fs-pcb	244	0.0000%	143	0.00002%	387
p-urarasb	2566	0.0003%	142	0.00002%	2708
s-tsh-peg	2078	0.0003%	142	0.00002%	2220
u-urea	1443	0.0002%	142	0.00002%	1585
p-aboabbm	1044	0.0001%	142	0.00002%	1186
cu-a1migl	865	0.0001%	142	0.00002%	1007
s-hein1er	532	0.0001%	142	0.00002%	674
-stapvi	196	0.0000%	142	0.00002%	338
fp-vip	862	0.0001%	141	0.00002%	1003
s-pensppg	718	0.0001%	141	0.00002%	859
eos*	335	0.0000%	141	0.00002%	476
p-ttr	3590	0.0005%	140	0.00002%	3730
p-troptkon	1182	0.0002%	140	0.00002%	1322
polynuk	689	0.0001%	138	0.00002%	827
ua-ahco3	3324	0.0004%	137	0.00002%	3461
s-kookpäe	477	0.0001%	137	0.00002%	614
am-mksyn	195	0.0000%	137	0.00002%	332
b-pvk+tkd,ig	116918	0.0151%	136	0.00002%	117054
ns-neutrof	113	0.0000%	136	0.00002%	249
ua-shco3	7701	0.0010%	135	0.00002%	7836
s-tati	4633	0.0006%	135	0.00002%	4768
af-eryt	377	0.0000%	135	0.00002%	512
(b-gluk)	287	0.0000%	135	0.00002%	422
p-aboabbg	248	0.0000%	135	0.00002%	383
fp-c-pept	5534	0.0007%	134	0.00002%	5668
d-cmvabg	133	0.0000%	134	0.00002%	267
s-phadiat	147	0.0000%	133	0.00002%	280
hepyaba	140	0.0000%	133	0.00002%	273
s-flt/pgf	1692	0.0002%	132	0.00002%	1824
s-rvesv5e	1227	0.0002%	132	0.00002%	1359
pt-gfreep	33869	0.0044%	131	0.00002%	34000
ap-lakt	25939	0.0033%	131	0.00002%	26070
pt-gluk-0h	5024	0.0006%	131	0.00002%	5155
dpteroe	2672	0.0003%	131	0.00002%	2803
gluk0	2085	0.0003%	131	0.00002%	2216
p-afxaapi	1514	0.0002%	131	0.00002%	1645
p-fidd*	539	0.0001%	131	0.00002%	670
hepyabg	143	0.0000%	131	0.00002%	274
l-liuska	38581	0.0050%	130	0.00002%	38711
p-hcyst	13728	0.0018%	130	0.00002%	13858
painonmitt	16284	0.0021%	129	0.00002%	16413
s-leppspe	389	0.0001%	129	0.00002%	518
crp(vo.hoitaja)	262	0.0000%	128	0.00002%	390
vb-k	255	0.0000%	128	0.00002%	383
u-rakkoai	6725	0.0009%	127	0.00002%	6852
leuk-pika	4600	0.0006%	127	0.00002%	4727
s-rvesv1e	1119	0.0001%	127	0.00002%	1246
l-bla	37050	0.0048%	126	0.00002%	37176
s-konalbe	597	0.0001%	126	0.00002%	723
p-fakb	508	0.0001%	126	0.00002%	634
s-amitrip	311	0.0000%	126	0.00002%	437
-psa-v%	163	0.0000%	126	0.00002%	289
p-psa-t	124097	0.0160%	125	0.00002%	124222
p-glu/1h	7352	0.0009%	125	0.00002%	7477
sy-polymor	1187	0.0002%	125	0.00002%	1312
s-psa-suh,s-psa-v/t	231	0.0000%	125	0.00002%	356
vp-ph	24660	0.0032%	124	0.00002%	24784
yhdistelty	178	0.0000%	123	0.00002%	301
basof	54901	0.0071%	122	0.00002%	55023
-crp-o	343	0.0000%	122	0.00002%	465
s-rjugr1	114	0.0000%	122	0.00002%	236
s-hsvcf	102	0.0000%	122	0.00002%	224
s-hcgbv	9018	0.0012%	121	0.00002%	9139
sisäilmayhteydenotto	895	0.0001%	121	0.00002%	1016
s-kaakaoe	207	0.0000%	121	0.00002%	328
s-ebv-abg	207	0.0000%	121	0.00002%	328
s-bil	50492	0.0065%	120	0.00002%	50612
s-kanie	426	0.0001%	120	0.00002%	546
s-hamsepe	176	0.0000%	120	0.00002%	296
nu-5c-porf	160	0.0000%	120	0.00002%	280
p-k-ses	3891	0.0005%	119	0.00002%	4010
fs-ffa	1045	0.0001%	119	0.00002%	1164
s-rprup3e	796	0.0001%	119	0.00002%	915
af-leuk	515	0.0001%	119	0.00002%	634
u-tubulep	430	0.0001%	119	0.00002%	549
ovomukoidi	282	0.0000%	119	0.00002%	401
s-hcg-a	273	0.0000%	119	0.00002%	392
s-rcypc1e	767	0.0001%	118	0.00002%	885
u-välimep	692	0.0001%	118	0.00002%	810
u-cu	136	0.0000%	118	0.00002%	254
kolesteroli.itse	284	0.0000%	117	0.00002%	401
u-jyvlier	140	0.0000%	117	0.00002%	257
pt-arg-r	120	0.0000%	117	0.00002%	237
p-tt.	15192	0.0020%	116	0.00001%	15308
p-urea-de	4792	0.0006%	116	0.00001%	4908
b-ohbutvt	1636	0.0002%	116	0.00001%	1752
b-probnp-o	827	0.0001%	116	0.00001%	943
s-ca19-9v	158	0.0000%	116	0.00001%	274
s-imm-ong	121	0.0000%	116	0.00001%	237
pf-lzm	1419	0.0002%	115	0.00001%	1534
s-hasspek	260	0.0000%	115	0.00001%	375
ts-ngsshs1	216	0.0000%	115	0.00001%	331
pituus	16558	0.0021%	114	0.00001%	16672
paino	1781	0.0002%	113	0.00001%	1894
cb-gluk-0	131	0.0000%	113	0.00001%	244
ab-ca++7.4	9125	0.0012%	112	0.00001%	9237
-s.yht.	7003	0.0009%	112	0.00001%	7115
fl-trihivi	1768	0.0002%	112	0.00001%	1880
s-clteabg	554	0.0001%	112	0.00001%	666
s-niitspe	231	0.0000%	112	0.00001%	343
di-eryt	218	0.0000%	112	0.00001%	330
s-vzvcf	114	0.0000%	112	0.00001%	226
p-fix	4900	0.0006%	111	0.00001%	5011
u-bzd-hy	132	0.0000%	111	0.00001%	243
l-ly%	30432	0.0039%	110	0.00001%	30542
s-d-25-32	7878	0.0010%	110	0.00001%	7988
s-afp/d	1504	0.0002%	110	0.00001%	1614
p-vwfrco	700	0.0001%	110	0.00001%	810
ts-brcamut	309	0.0000%	110	0.00001%	419
s-parpähe	113	0.0000%	110	0.00001%	223
p-glu/0	17283	0.0022%	109	0.00001%	17392
se-gluk	367	0.0000%	109	0.00001%	476
ab-hbo2svt	317	0.0000%	109	0.00001%	426
s-ca	66865	0.0086%	108	0.00001%	66973
p-at3.	12786	0.0017%	108	0.00001%	12894
pujoe	3065	0.0004%	108	0.00001%	3173
kissae	2696	0.0003%	108	0.00001%	2804
p-fibr.	2620	0.0003%	108	0.00001%	2728
s-cladclg	186	0.0000%	108	0.00001%	294
s-caio7.4	17339	0.0022%	107	0.00001%	17446
s-vedol	2912	0.0004%	107	0.00001%	3019
p-varmtt	2691	0.0003%	107	0.00001%	2798
bm-tcrg-d	1407	0.0002%	107	0.00001%	1514
u-b2miglo	1052	0.0001%	106	0.00001%	1158
lymf**	260	0.0000%	106	0.00001%	366
-neut%	20886	0.0027%	105	0.00001%	20991
s-etane	1272	0.0002%	105	0.00001%	1377
s-cpn-abg	111	0.0000%	105	0.00001%	216
s-scl70-ab	641	0.0001%	104	0.00001%	745
s-nurnate	591	0.0001%	104	0.00001%	695
p-tt-spr	2683	0.0003%	103	0.00001%	2786
pt-ada-ind	1392	0.0002%	103	0.00001%	1495
sy-uraat	241	0.0000%	103	0.00001%	344
tomaatti	192	0.0000%	103	0.00001%	295
fp-pp	112	0.0000%	103	0.00001%	215
p-c-pepta	3992	0.0005%	102	0.00001%	4094
s-usteki	1349	0.0002%	102	0.00001%	1451
-bil	945	0.0001%	102	0.00001%	1047
du-adr	190	0.0000%	102	0.00001%	292
s-rabiab	630	0.0001%	101	0.00001%	731
p-alat.	10698	0.0014%	100	0.00001%	10798
p-na-ses	3538	0.0005%	100	0.00001%	3638
b-cd34	524	0.0001%	100	0.00001%	624
hyytlaus	282	0.0000%	100	0.00001%	382
